date,datasetid,alternate_download_available,year,week,event,subject,downloads,url
2016-12-19,2016w51,Y,2016,51,TIL MM Live,DC Metro Scorecard,8,https://data.world/makeovermonday/2016w51
2017-05-22,2017w21-alcohol-consumption-in-britain,N,2017,21,,Are Britons falling out of love with booze?,13,https://data.world/makeovermonday/2017w21-alcohol-consumption-in-britain
2017-10-23,how-frequent-is-my-myers-briggs-type,Y,2017,43,,How Frequent Is My Myers-Briggs Type?,9,https://data.world/makeovermonday/how-frequent-is-my-myers-briggs-type
2017-11-06,life-expectancy-at-birth-by-country,Y,2017,45,San Diego TUG,Life Expectancy at Birth by Country (1960-2015),80,https://data.world/makeovermonday/life-expectancy-at-birth-by-country
2017-11-20,2017-w-47-snapchat-is-tops-with-american-teens,Y,2017,47,,Snapchat is Tops with American Teens,8,https://data.world/makeovermonday/2017-w-47-snapchat-is-tops-with-american-teens
2017-11-27,2017-w-48-the-world-as-100-people,Y,2017,48,,The World as 100 People,9,https://data.world/makeovermonday/2017-w-48-the-world-as-100-people
2017-12-11,2017-w-50-barrier-free-singapore,Y,2017,50,,Barrier Free Buildings in Singapore,4,https://data.world/makeovermonday/2017-w-50-barrier-free-singapore
2017-12-18,2017-w-51-temperature-anomalies-1900-2016,Y,2017,51,,Temperature Anomalies (1900-2016),4,https://data.world/makeovermonday/2017-w-51-temperature-anomalies-1900-2016
2017-12-25,2017-w-52-christmas-trees-sold-in-the-us,Y,2017,52,,Christmas trees sold in the US from 2004 - 2016,30,https://data.world/makeovermonday/2017-w-52-christmas-trees-sold-in-the-us
2018-01-01,2018-w-1-u-s-per-capita-consumption-of-poultry-livestock,N,2018,1,,U.S. Per Capita Consumption of Poultry and Livestock,30,https://data.world/makeovermonday/2018-w-1-u-s-per-capita-consumption-of-poultry-livestock
2018-01-08,2018-w-2-looks-vs-personality,N,2018,2,,"Across the globe, personality is rated as more important than looks",20,https://data.world/makeovermonday/2018-w-2-looks-vs-personality
2018-01-15,2018-w-3-u-s-household-income-distribution-by-state,N,2018,3,,U.S. Household Income Distribution by State,103,https://data.world/makeovermonday/2018-w-3-u-s-household-income-distribution-by-state
2018-01-22,2018-w-4-turkey-vulture-migration-in-north-and-south-america,N,2018,4,,Movement Turkey Vultures in North and South America,13,https://data.world/makeovermonday/2018-w-4-turkey-vulture-migration-in-north-and-south-america
2018-01-29,2018-w-5-what-the-most-profitable-companies-make-per-second,N,2018,5,,What the Most Profitable Companies Make per Second,48,https://data.world/makeovermonday/2018-w-5-what-the-most-profitable-companies-make-per-second
2018-02-05,2018-w-6-baseball-demographics-1947-2016,N,2018,6,,Black History Month: Baseball Demographics (1947-2016),42,https://data.world/makeovermonday/2018-w-6-baseball-demographics-1947-2016
2018-02-12,2018w7-the-winter-olympics,N,2018,7,,The Winter Olympics (by Rody Zakovich),48,https://data.world/makeovermonday/2018w7-the-winter-olympics
2018-02-19,2018w8-where-does-your-medicine-come-from,N,2018,8,,Where Does Your Medicine Come From?,22,https://data.world/makeovermonday/2018w8-where-does-your-medicine-come-from
2018-02-26,2018w9-world-economic-freedom,N,2018,9,,World Economic Freedom,25,https://data.world/makeovermonday/2018w9-world-economic-freedom
